ID,Name,LongName,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,IndexInSource,IsProto
Mee,Mee,Trans-New Guinea (Nuclear):  Paniai Lakes:  Ekari:  Mee,ekar1243,Ekari,ekg,Papunesia,-3.89,136.02,Nuclear Trans New Guinea,52241505509,False
Mekwnalca,Mek W.: Nalca,Trans-New Guinea (Nuclear):  Mek:  Western:  Nalca,nalc1240,Nalca,nlc,Papunesia,-4.26,139.88,Nuclear Trans New Guinea,52331605509,False
Wbomberaiiha,W. Bomberai: Iha,‘Papuan’:  West Bomberai:  Nuclear:  Iha:  Bomberai Bay,ihaa1241,Iha,ihp,Papunesia,-2.81,132.27,West Bomberai,53121400009,False
Abun,Abun,‘Papuan’:  Abun,abun1252,Abun,kgr,Papunesia,-0.57,132.42,,53201000009,False
Mpur,Mpur,‘Papuan’:  Mpur,mpur1239,Mpur,akc,Papunesia,-0.5,133.17,,53301000009,False
Miyah,Miyah,‘Papuan’:  Miyah,,,,,-0.76268,132.57953,,53601000009,False
Irires,Irires,‘Papuan’:  Irires,,,,,-0.6051,132.4896,,53801000009,False
Ambel,Ambel,Austronesian:  SHWNG:  RASH:  Ambel / Waigeo,waig1244,Waigeo,wgo,Papunesia,-0.18,130.92,Austronesian,56211575509,False
Yapenwooi,Yapen: Wooi,Austronesian:  SHWNG:  Cendrawasih Bay:  Yapen:  Wooi,woii1237,Woi,wbw,Papunesia,-1.63,135.48,Austronesian,56231232209,False
Ansus,Ansus,Austronesian:  SHWNG:  Cendrawasih Bay:  Yapen:  Ansus,ansu1237,Ansus,and,Papunesia,-1.73,135.81,Austronesian,56231233509,False
Yapenpoom,Yapen: Poom,Austronesian:  SHWNG:  Cendrawasih Bay:  Yapen:  Poom,pomm1237,Pom,pmo,Papunesia,-1.64,135.62,Austronesian,56231262309,False
Biak,Biak,Austronesian:  SHWNG:  Cendrawasih Bay:  Biakic:  Biak,biak1248,Biak,bhw,Papunesia,-0.95,135.88,Austronesian,56231422709,False
Waropen,Waropen,Austronesian:  SHWNG:  Waropen,waro1242,Waropen,wrp,Papunesia,-2.31,136.63,Austronesian,56261005509,False
