Ambel,English Translation
kitem,1_one
lɔu,2_two
tul,3_three
hat,4_four
lim,5_five
wanum,6_six
fit,7_seven
wal,8_eight
siu,9_nine
lahe,10_ten
lahelɔu,11_twenty
lahelim,12_fifty
utun,13_onehundred
ɾibu,14_onethousand
tacu,16_right
papɛt,17_left
ine,18_i
atɔmne,19_weallexcl
tutne,20_webothincl
mne,21_webothexcl
isne,22_weallincl
awa,23_thou
mɔwa,24_youboth
mewa,25_youall
ja,26_heshe
sia,27_theyall
uwa,28_theyboth
pɔ,29_nonot
dajatalapa,30_what
metablapa,31_who
lɔte,32_where
laɲan,33_when
late,34_how
wanɛ,35_this
wapa,36_that
tuwa,37_and
lɔpɔn,38_above
lɔbat,39_below
lɔmua,40_ininside
lɔtɛ,41_at
ido,42_if
kai,43_head
pja,44_hair
taɡi,45_eye
su,46_nose
solatu,47_ear
ɡʌ,48_mouth
waɾe,49_tongue
wali,50_tooth
kapia,51_hand
pupu,52_shoulder
kakɔ,53_neck
kaite,54_back
koka,55_leg
lomu,56_blood
kabom,57_bone
kani,58_skin
ɲai,59_belly
ɲaikabijalim,60_intestines
su,61_breast
latei,62_liver
aji,63_dog
mani,64_bird
dun,65_fish
lemat,66_snake
bajɔlɔu,67_worm
hut,68_louse
kalubu,69_rat
kasobabat,70_spider
kaɲɔ,71_mosquito
talo,72_egg
saɡale,73_tail
kahelɛ,74_wing
kapɾum,75_feather
macobei,76_person
man,77_man
bin,78_woman
nikwɛ,79_child
ɡain,80_name
nen,81_mother
mam,82_father
inimansaɾ,83_husband
inibisaɾ,84_wife
naintatapɔn,85_day
ɡam,86_night
tun,87_moon
kalɔ,88_star
mandep,89_sky
wɛ,90_water
tasikabun,91_lake
walut,92_sea
lap,93_fire
andaɾau,94_smoke
laɡalap,95_ash
katin,96_stone
bat,97_earthsoil
laɡalap,98_dust
laɛn,99_sand
mi,100_rain
moɾeimet,101_cloud
madu,102_wind
aɡim,103_fog
lalɔ,104_thunder
lalɛu,105_lightning
wanat,106_meatflesh
tasi,107_salt
imatali,108_fatgrease
ikapu,109_fruit
aelɔ,110_woodsforest
ikawak,111_root
ikasaɡan,112_branch
kɔkanu,113_leaf
ai,114_wood
abɾis,115_grass
isu,116_flower
kate,117_thatchroof
nou,118_house
wali,119_rope
lawe,120_needle
nimpon,121_roadpath
amatem,122_black
ambu,123_white
antami,124_red
ambiao,125_green
amani,126_yellow
aŋlal,127_big
amiŋki,128_small
amawo,129_long
aŋkapjut,130_short
amatalo,131_thick
amaɾaski,132_thin
aŋaɡet,133_narrow
amasai,134_wide
antalim,135_sharp
ambuk,136_bluntdull
jamai,137_shyashamed
bɛmansaɾa,138_old
jamsi,139_painfulsick
hei,140_good
hɛpɔ,141_bad
amtɔlɔn,142_correcttrue
kamun,143_dirty
ambi,144_rotten
aɾo,145_all
amon,146_heavy
nilau,147_far
haɾit,148_near
amaɡalin,149_warm
amasuwi,150_cold
ame,151_dry
amasut,152_wet
babɔ,153_new
asai,154_other
dɔk,155_come
tan,156_walk
antum,157_grow
tɔl,158_stand
katɔn,159_sit
amdul,160_fall
jamalak,161_liedown
takawai,162_turn
sa,163_climb
la,164_swim
napɔ,165_flyverb
tɛ,166_throw
kabun,167_hide
jakamam,168_chew
janan,169_eat
janum,170_drink
sak,171_bite
sɔɾɔ,172_suck
aŋhio,173_yawn
kapi,174_spit
amɲal,175_dream
jane,176_sleep
hei,177_live
namin,178_die
bun,179_kill
jem,180_see
jatanɔ,181_hear
naten,182_sniffsmell
nun,183_know
awasan,184_think
ami,185_laugh
tani,186_cry
anau,187_blow
kapil,188_burn
antaɾi,189_flow
kaɾin,190_sew
katut,191_pound
bun,192_hit
akut,193_cut
nakapeni,194_split
akil,195_dig
totai,196_hunt
sau,197_hold
macat,198_fear
taɾeken,199_count
asil,200_breathe
oɡol,201_vomit
sel,202_tieup
namu,203_squeeze
amput,204_swell
bin,205_say
jakɔ,206_scratch
tape,207_stab
siɾi,208_buy
kami,209_steal
tahi,210_choose
tanim,211_plant
hablak,212_cook
tuɡun,213_shoot
kaɾiʤan,214_work
kapu,215_open
