Mee,English Translation
ena,1_one
wija,2_two
wido,3_three
wiː,4_four
idibi,5_five
benumi,6_six
pituwo,7_seven
waɾuwo,8_eight
ijeː,9_nine
ʀaːti,10_ten
mepiːna,11_twenty
amunato,12_fifty
oɽaikamuto,13_onehundred
oɽaikamutoʀati,14_onethousand
ibonaɽo,15_year
etikaːto,16_right
akaːto,17_left
kija,18_i
iniwa,19_weallexcl
inaiwija,20_webothincl
inai,21_webothexcl
iniwa,22_weallincl
ɔkai,23_thou
ikaito,24_youboth
ikito,25_youall
jame,26_heshe
okei,27_theyall
okeijaiwija,28_theyboth
beːu,29_nonot
maːɽi,30_what
meːime,31_who
kaijaː,32_where
menaː,33_when
kajedani,34_how
kiː,35_this
kou,36_that
daːna,37_and
wadou,38_above
mijou,39_below
ajo,40_ininside
kaja,41_at
koːudani,42_if
daɽi,43_head
ijo,44_hair
peka,45_eye
juma,46_nose
ɾapa,47_ear
ebe,48_mouth
eta,49_tongue
eɽo,50_tooth
benai,51_hand
kode,52_shoulder
eta,53_neck
wakouto,54_back
bado,55_leg
emo,56_blood
mitoː,57_bone
kado,58_skin
modo,59_belly
puto,60_intestines
ama,61_breast
keɾepa,62_liver
dodi,63_dog
bedo,64_bird
bineːi,65_fish
oːu,66_snake
toka,67_worm
uka,68_louse
kedei,69_rat
ɡabɑ,70_spider
dipiː,71_mosquito
napo,72_egg
maijɑto,73_tail
ɑː,74_wing
hijo,75_feather
meː,76_person
jame,77_man
jaʀamo,78_woman
joka,79_child
anieka,80_name
noukai,81_mother
naitai,82_father
jamememeː,83_husband
jaɾamome,84_wife
aʀapi,85_day
wane,86_night
aɽoː,87_moon
ijapu,88_star
epa,89_sky
uwo,90_water
uwopeko,91_lake
maekaepejo,92_sea
udU,93_fire
nakaɽi,94_smoke
noʀaː,95_ash
moɣo,96_stone
maki,97_earthsoil
noʀa,98_dust
iː,99_sand
idi,100_rain
jabai,101_cloud
bouw,102_wind
takimidoke,103_fog
jilimuɽu,104_thunder
wakibeɽo,105_lightning
muɣle,106_meatflesh
liɣa,107_salt
daka,108_fatgrease
pijɑpo,109_fruit
buɡlua,110_woodsforest
mani,111_root
udi,112_branch
imo,113_leaf
pija,114_wood
bo,115_grass
dupi,116_flower
ɾawi,117_thatchroof
owaː,118_house
buda,119_rope
aʀiaʀini,120_needle
uwe,121_roadpath
diɽimu,122_black
wakijoː,123_white
kadajoː,124_red
atadeː,126_yellow
ibo,127_big
daba,128_small
woja,129_long
pini,130_short
uminaibo,131_thick
daba,132_thin
tipI,133_narrow
iboma,134_wide
woja,135_sharp
noɽu,136_bluntdull
eɽoɡai,137_shyashamed
adama,138_old
didi,139_painfulsick
enaː,140_good
emoɽe,141_bad
maːkedi,142_correcttrue
ebeta,143_dirty
unu,144_rotten
idima,145_all
udo,146_heavy
pɔtɔ,147_far
ebaː,148_near
ɡɽobi,149_warm
ŋleiɣlei,150_cold
wedoke,151_dry
poko,152_wet
ija,153_new
inoː,154_other
meː,155_come
uwitotai,156_walk
ejai,157_grow
joːni,158_stand
animakai,159_sit
ɡotai,160_fall
wadouɣa,161_liedown
watijaiʀa,162_turn
taɾumai,163_climb
tata,164_swim
kapumɑi,165_flyverb
jeati,166_throw
bonai,167_hide
idai,168_chew
nai,169_eat
wonai,170_drink
eɾoenai,171_bite
domiː,172_suck
kaɾu,173_yawn
epiɽe,174_spit
baɾume,175_dream
uno,176_sleep
ija,177_live
bokai,178_die
waɽimakai,179_kill
loːu,180_see
jowiː,181_hear
ejumai,182_sniffsmell
ɣaʀa,183_know
dimiɣai,184_think
kijai,185_laugh
jeɽe,186_cry
puː,187_blow
odiː,188_burn
ijawetai,189_flow
puːmaI,190_sew
taɽimai,191_pound
waɽi,192_hit
duwaːi,193_cut
akaɽe,194_split
duwi,195_dig
wekawina,196_hunt
jaɣe,197_hold
weda,198_fear
ʀaki,199_count
ebepuː,200_breathe
edi,201_vomit
kadimai,202_tieup
tiɽ,203_squeeze
ejada,204_swell
etiː,205_say
ɾinaːi,206_scratch
pitumaːi,207_stab
edai,208_buy
oma,209_steal
weɾenai,210_choose
uwei,211_plant
jou,212_cook
waɽi,213_shoot
kadija,214_work
kebai,215_open
