Miyah,English Translation
su,1_one
ai,2_two
tuf,3_three
tiɛt,4_four
tɛmsu,5_five
kɾɛmsu,6_six
kɾɛmaɛ,7_seven
kɾɛmtuf,8_eight
kɾɛmtiɛt,9_nine
tɛmai,10_ten
tɛmaiaɛi,11_twenty
tɛmaitɛmsu,12_fifty
tɛmaitɛmai,13_onehundred
tɛmaitɛmaitɛmai,14_onethousand
aɾmɛnaŋɡwaɾah,15_year
ʌti,16_right
tʌ,17_left
tuwɔ,18_i
amu,19_weallexcl
paɛn,20_webothincl
paɛnpɛnai,21_webothexcl
amɔu umsuɔ,22_weallincl
nuwɔ,23_thou
kuwaɛ,24_youboth
anu,25_youall
aid,26_heshe
anʌ,27_theyall
anʌmɛnai,28_theyboth
natfɛ,29_nonot
pawijʌ,30_what
awijʌ,31_who
maɛujuwɔ,32_where
titia,33_when
fiɛ,34_how
ŋfɔ,35_this
nda,36_that
mapud,37_and
ui,38_above
tɛi,39_below
matɔ,40_ininside
maɛ,41_at
fɾi,42_if
pɛnʌ,43_head
pɛnʌmaujan,44_hair
su,45_eye
pɛnif,46_nose
pɛmbɾʌ,47_ear
skʌ,48_mouth
hɾaɔ,49_tongue
pɛsiɛm,50_tooth
pɛtɛm,51_hand
pɔs,52_shoulder
pɛmuɔn,53_neck
fɾai,54_back
tʌɔ,55_leg
mɛs,56_blood
ti,57_bone
pɛɾʌk,58_skin
haf,59_belly
haftapin,60_intestines
pesis,61_breast
nau,62_liver
ndʌh,63_dog
ɛɾu,64_bird
kʌkaja,65_fish
apan,66_snake
sapa,67_worm
hatɛ,68_louse
kɔukɛk,69_rat
wɛɾif,70_spider
pɔmafit,71_mosquito
jauf,72_egg
sjawiah,73_tail
jaim,74_wing
mawijan,75_feather
pɾaɛtu,76_person
pɾasɛmɛ,77_man
fɛniʌ,78_woman
kukɛk,79_child
pɛsɔm,80_name
pipi,81_mother
pitijʌ,82_father
pʌi,83_husband
fin,84_wife
ajwɔ,85_day
ɛti,86_night
sɛniɛ,87_moon
skɛn,88_star
aiwɔh,89_sky
aja,90_water
ɛmɔs,91_lake
sasu,92_sea
tafɔh,93_fire
wasi,94_smoke
pɔh,95_ash
fɾa,96_stone
tapam,97_earthsoil
pɔhʌsiʌf,98_dust
ɛni,99_sand
ɔm,100_rain
ɛpuwɔ,101_cloud
fɔs,102_wind
ɛpuwɔndafɔn,103_fog
ajɔhmitiɛ,104_thunder
ɛɾiɾ,105_lightning
ɡɛwijan,106_meatflesh
pɔkas,107_salt
sɛtɛn,108_fatgrease
makɛ,109_fruit
tuf,110_woodsforest
ndis,111_root
ŋɡɾɛ,112_branch
mata,113_leaf
aɾa,114_wood
sinan,115_grass
ndafuf,116_flower
pɛɾpijɛm,117_thatchroof
hamah,118_house
andapɛ,119_rope
jukam,120_needle
ɛtijɛt,121_roadpath
ŋɡuwɔn,122_black
mbɔh,123_white
ŋɡɛk,124_red
ndɾah,125_green
nfiaf,126_yellow
mapi,127_big
kinijah,128_small
mijuɔ,129_long
ŋɡana,130_short
mɛmɔ,131_thick
nsɛnɛ,132_thin
ŋɡuɛkut,133_narrow
mɾɛm,134_wide
maɔn,135_sharp
mbin,136_bluntdull
pɛmɛk,137_shyashamed
nsiɛ,138_old
kijam,139_painfulsick
mɔfkʌs,140_good
mbipijɛ,141_bad
ati,142_correcttrue
pʌh,143_dirty
mɛnis,144_rotten
umsu,145_all
samwɔh,146_heavy
mɛɾiai,147_far
dɛnɛ,148_near
mbɛpɛ,149_warm
ŋɡanam,150_cold
nsɾak,151_dry
ntɛ,152_wet
tɛnʌ,153_new
taɾʌ,154_other
pɛmʌ,155_come
pɔmɔnɔ,156_walk
mapɔ,157_grow
pɾɔs,158_stand
huɾɛn,159_sit
mbɛtu,160_fall
pɾiʌ,161_liedown
pɛsɛkpɛu,162_turn
put,163_climb
pɛtɛ,164_swim
jɛɾu,165_flyverb
suwɛn,166_throw
pumwɔt,167_hide
bɛtak,168_chew
pit,169_eat
pɛtʌ,170_drink
pɛfit,171_bite
pɛnɔs,172_suck
fakɔt,173_yawn
hawɔt,174_spit
sɛmi,175_dream
tiɛn,176_sleep
pau,177_live
hi,178_die
sʌh,179_kill
ki,180_see
pɾi,181_hear
pɛnin,182_sniffsmell
pɔhaɾ,183_know
pɛnɔt,184_think
pɛsah,185_laugh
piwijʌ,186_cry
pɛfi,187_blow
kɔ,188_burn
siaɾ,189_flow
sɛpis,190_sew
pumuk,191_pound
pi,192_hit
sawijat,193_cut
pumapufaɛ,194_split
pɛpah,195_dig
pɛmsiah,196_hunt
pɛpɔ,197_hold
kua,198_fear
sunuk,199_count
pɛi,200_breathe
tɔm,201_vomit
pɛkɛ,202_tieup
pɛftuɔk,203_squeeze
majuɔ,204_swell
puwɛ,205_say
huwɔh,206_scratch
pɛmɛ,207_stab
tiɾum,208_buy
suwɔf,209_steal
pɛtɾɛ,210_choose
pɔpum,211_plant
pim,212_cook
pupu,213_shoot
pɛmʌ,214_work
pɛtʌk,215_open
