Mpur,English Translation
tu,1_one
dukiɾ,2_two
nuɾ,3_three
bwat,4_four
me,5_five
membetu,6_six
membeɾkiɾ,7_seven
membeanuɾ,8_eight
membeabwat,9_nine
uŋɡiɾ,10_ten
uŋɡiɾkiɾ,11_twenty
uŋɡiɾmɛ,12_fifty
untin,13_onehundred
man,15_year
kajip,16_right
katɛ,17_left
in,18_i
jek,19_weallexcl
wɔɾ,20_webothincl
wɔɾ,21_webothexcl
jek,22_weallincl
nan,23_thou
non,24_youboth
nen,25_youall
jeta,26_heshe
deɾ,27_theyall
doɔɾ,28_theyboth
ʤan,29_nonot
baɾman,30_what
man,31_who
kutɛ,32_where
man,33_when
minte,34_how
ndai,35_this
ndaka,36_that
bɾau,37_and
bɛʤun,38_above
benɛk,39_below
bɛwu,40_ininside
ku,41_at
aka,42_if
bwam,43_head
bɔɾ,44_hair
am,45_eye
wanɡɛn,46_nose
kwajib,47_ear
bwat,48_mouth
buatɾau,49_tongue
bɾiɾ,50_tooth
ɔm,51_hand
wat,52_shoulder
jansun,53_neck
danfɛt,54_back
butuɾ,55_leg
faɾ,56_blood
hip,57_bone
fiknan,58_skin
fu,59_belly
fu,60_intestines
sut,61_breast
aŋɡɾam,62_liver
pɛɾ,63_dog
iu,64_bird
muan,65_fish
kuɾ,66_snake
baɾmat,67_worm
kin,68_louse
kamɛɾ,69_rat
mambɾau,70_spider
kubwɛn,71_mosquito
bua,72_egg
mɔk,73_tail
dɛk,74_wing
bɔuɾ,75_feather
mamiɾ,76_person
minip,77_man
minsim,78_woman
non,79_child
muɡ,80_name
nɛn,81_mother
na,82_father
nap,83_husband
ɲan,84_wife
put,85_day
dim,86_night
man,87_moon
ton,88_star
bum,89_sky
waɾ,90_water
ɔbʤap,91_lake
wɔt,92_sea
jɛt,93_fire
kum,94_smoke
subup,95_ash
biɡ,96_stone
nɛk,97_earthsoil
subup,98_dust
unʤa,99_sand
papɛt,100_rain
pukɾam,101_cloud
iʤau,102_wind
bum,103_fog
kaɾaɾu,104_thunder
fɾeb,105_lightning
kam,106_meatflesh
pat,107_salt
miɲak,108_fatgrease
bɛ,109_fruit
miɾau,110_woodsforest
meɾ,111_root
akwa,112_branch
bwa,113_leaf
ni,114_wood
in,115_grass
hup,116_flower
jat,117_thatchroof
ʤan,118_house
ibɔɾ,119_rope
dawɛ,120_needle
minʤan,121_roadpath
nɛm,122_black
fibɛ,123_white
sum,124_red
buwawob,125_green
mufɾum,126_yellow
pak,127_big
nɔn,128_small
bɔʤɔɾit,129_long
kunɔn,130_short
buwantit,131_thick
sɾaɾat,132_thin
jɛɾ,133_narrow
buwaɾat,134_wide
ɲɛɾ,135_sharp
kwʤan,136_bluntdull
wandaɾ,137_shyashamed
wan ɡan,138_old
wantɛk,139_painfulsick
mafun,140_good
kwaɾ,141_bad
kaku,142_correcttrue
met,143_dirty
pijam,144_rotten
masjek,145_all
kɔt,146_heavy
buaɲɛɾ,147_far
fanam,148_near
tɛk,149_warm
tuwat,150_cold
jɛp,151_dry
kawut,152_wet
bak,153_new
fiti,154_other
jaɾob,155_come
un,156_walk
fɔ,157_grow
i,158_stand
ʤap,159_sit
kwɛm,160_fall
kɔn,161_liedown
bɾɛk,162_turn
fɔ,163_climb
ʤap,164_swim
bubwaɾ,165_flyverb
fa,166_throw
kaʤup,167_hide
tat,168_chew
dɛt,169_eat
kuɾɛt,170_drink
jɛm,171_bite
fɔɡ,172_suck
ɛwa,173_yawn
tuat,174_spit
kɔnɔt,175_dream
kɔn,176_sleep
fun,177_live
dukwa,178_die
ʤik,179_kill
wɔt,180_see
minsɛm,181_hear
dupam,182_sniffsmell
wɔt,183_know
fɾɔmba,184_think
kotɔt,185_laugh
jaɾ,186_cry
fɔb,187_blow
kwaɾi,188_burn
un,189_flow
fuk,190_sew
tut,191_pound
bat,192_hit
kɛti,193_cut
kupau,194_split
siʤa,195_dig
minsawa,196_hunt
dika,197_hold
wanau,198_fear
tinin,199_count
fiʤau,200_breathe
miɲak,201_vomit
bɛɾ,202_tieup
tafɾɔk,203_squeeze
pɾɛm,204_swell
buwaɾ,205_say
ʤɛn,206_scratch
nom,207_stab
fa,208_buy
duŋɡwat,209_steal
bum,210_choose
kau,211_plant
kwan,212_cook
tum,213_shoot
fɾɔɾ,214_work
bas,215_open
