Waropen,English Translation
wɔsiɔ,1_one
wɔɾuwɔ,2_two
ɔɾɔ,3_three
funakenda,4_four
baiŋɡakenda,5_five
baiŋɡakendatɔwoɔsiɔ,6_six
baiŋɡakendatɔwɔɾfɔ,7_seven
baiŋɡakendatɔwɔɾɔ,8_eight
baiŋɡakendafɔnakenda,9_nine
sauwɔɾɔ,10_ten
sauwɔɾɔkɔɾuwɔ,11_twenty
sauwɔɾɔbaiŋɡakenda,12_fifty
hasatiɔ,13_onehundred
ea,15_year
haŋan,16_right
si,17_left
ɾaɔ,18_i
akɔ,19_weallexcl
akɔwɔɾfɔ,20_webothincl
akɔwɔɾfɔ,21_webothexcl
akɔ,22_weallincl
awɔ,23_thou
awɔwɔɾfɔ,24_youboth
awɔ,25_youall
nanawaɾibɔ,26_heshe
kijɔ,27_theyall
kijɔwɔɾfɔ,28_theyboth
ɔitawɔ,29_nonot
atanɔwae,30_what
endɔ,31_who
nanamanduweɾa,32_where
ɔɾabɔɾai,33_when
ɔndawɔi,34_how
ineni,35_this
ineɣa,36_that
ŋɡadɔ,37_and
nanabɔɡa,38_above
iɾɔniɔ,39_below
nanadɔɡa,40_ininside
nana,41_at
ɔnda,42_if
wɔɾaiɡa,43_head
wɔɾaisina,44_hair
kambaisi,45_eye
neabɔ,46_nose
ndaɾɔɾei,47_ear
wɔɾdu,48_mouth
mbeɾɔ,49_tongue
keasa,50_tooth
baŋɡia,51_hand
wauɾi,52_shoulder
dɔwa,53_neck
faɾeŋɡaniɔ,54_back
ɾeŋɡia,55_leg
ɾaɾaiɡa,56_blood
kɔɾi,57_bone
ɾufeina,58_skin
ndanda,59_belly
weba,60_intestines
ninadɔni,62_liver
unɔ,63_dog
mani,64_bird
adɔ,65_fish
ɡɔi,66_snake
neɡaɡɔi,67_worm
hui,68_louse
afunɔu,69_rat
ɾɔfambinaniɔ,70_spider
ɾewɔɾi,71_mosquito
kɔiwu,72_egg
feɾai,73_tail
wawuɾi,74_wing
wɔui,75_feather
nuŋɡuineɔ,76_person
waɾibɔ,77_man
wijama,78_woman
kuwɔ,79_child
nasana,80_name
ina,81_mother
daida,82_father
manɔu,83_husband
binɔ,84_wife
ɔɾasa,85_day
ɔɾamɔ,86_night
ɡafa,87_moon
umai,88_star
ɔɾawaisisiɔ,89_sky
ɾauno,90_water
wandɔ,91_lake
tuni,92_sea
saɡa,93_fire
awus,94_smoke
awu,95_ash
wai,96_stone
ana,97_earthsoil
au,98_dust
nafa,99_sand
dɔɾa,100_rain
dɔɾawai,101_cloud
ɡama,102_wind
masasin,103_fog
ɾafakɔ,104_thunder
mbeɾewa,105_lightning
dae,106_meatflesh
mbaɾɔo,107_salt
sɔo,108_fatgrease
awɔ,109_fruit
anabɔniɔ,110_woodsforest
ŋɡai,111_root
ewaɾana,112_branch
ɾana,113_leaf
abɔ,114_wood
ijo,115_grass
ndawɔ,116_flower
akau,117_thatchroof
ɾumaɡa,118_house
teɾafai,119_rope
ɾɔna,120_needle
aŋɡaɾa,121_roadpath
mbenɔ,122_black
fakɔo,123_white
ɾanahaɾɔ,124_red
ɡaɡadɔ,125_green
ndikɔ,126_yellow
ba,127_big
bɔma,128_small
kaɾaba,129_long
fafa,130_short
kɔipua,131_thick
nditakɔ,132_thin
epaŋɡiaɔwu,133_narrow
sakaɾɔ,134_wide
kamukɔ,135_sharp
kafukɔ,136_bluntdull
aneɡamaɾɔ,137_shyashamed
nibaɔ,138_old
wisiweɔ,139_painfulsick
ɾɔ,140_good
janɔɣa,141_bad
tinadai,142_correcttrue
ɾiɾa,143_dirty
buɔ,144_rotten
titikiɔ,145_all
mbajakɔ,146_heavy
kaɾaba,147_far
nifaida,148_near
wakakɔ,149_warm
fefe,150_cold
ɾɔɾɔ,151_dry
dendɔenɔ,152_wet
wɔa,153_new
neki,154_other
mau,155_come
ɾa,156_walk
ukɔ,157_grow
awɔtaɾɔ,158_stand
kɔawaɾɔ,159_sit
jamɔsaɔo,160_fall
ɾanda,161_liedown
ɾaisa,162_turn
aɡeisɔ,163_climb
suna,164_swim
kipai,165_flyverb
sɔo,166_throw
aɡamijaɔ,167_hide
kafukɔ,168_chew
kanɔ,169_eat
ɾunɔ,170_drink
ɾafanɔ,171_bite
asuma,172_suck
nditatakɔ,173_yawn
diwaka,174_spit
andina,175_dream
jenakɔ,176_sleep
ukɔ,177_live
feɾɔ,178_die
mbumɔ,179_kill
siɾɔ,180_see
jawaɾa,181_hear
wusanɔ,182_sniffsmell
kafukɔ,183_know
aŋɡaina,184_think
ɾandenɔ,185_laugh
janicɔ,186_cry
jufa,187_blow
unɔ,188_burn
kandamɔo,189_flow
janɔ,190_sew
ɾefana,192_hit
sikefi,193_cut
bawukɔ,194_split
tɔw,195_dig
amɔna,197_hold
ɾakaku,198_fear
ɾeakɔ,199_count
aufasa,200_breathe
kɔɾaɾu,201_vomit
kɔɾanɔ,202_tieup
bawukɔ,203_squeeze
pinɔ,204_swell
awɔna,205_say
naɡaɔ,206_scratch
ʤina,207_stab
aɡawukɔ,208_buy
aubanda,209_steal
aɡikajau,210_choose
sedaɾa,211_plant
asekɔ,212_cook
awuniɔ,213_shoot
aupapi,215_open
