Wbomberaiiha,English Translation
wɔ,1_one
ɾɪk,2_two
tɛɾɪ,3_three
ŋɡaɾa,4_four
tʊmpʊ,5_five
tʊmpʊwɔ,6_six
tʊmpʊɾɪk,7_seven
tʊmpʊtɛɾɪ,8_eight
tʊmpʊŋɡaɾa,9_nine
pɾa,10_ten
tɔmtɪʤɔwɔ,11_twenty
tɔmtɪdʊɾɪkpɾa,12_fifty
tɔmtɪdʊtʊmpʊ,13_onehundred
tɔmtɪdʊpɾa,14_onethousand
jat,15_year
pɔh,16_right
pɛm,17_left
ɔnɔ,18_i
ɪn,19_weallexcl
ɪndʊɾik,20_webothincl
ɪndʊɾik,21_webothexcl
ɪn,22_weallincl
kɔ,23_thou
kɪdʊɾik,24_youboth
kɪ,25_youall
mɪnɛmɛhaɾ,26_heshe
mɪ,27_theyall
mɪdʊɾɪk,28_theyboth
nɔnɔp,29_nonot
taβɛ,30_what
ntɔn,31_who
tɔβɔnɛn,32_where
nɔŋpɔkɪhɛ,33_when
taβɛɡɛmɪŋ,34_how
jɔ,35_this
mɔ,36_that
kɔnɔ,37_and
pamɔn,38_above
hɔɾmɔn,39_below
mɛɾɛmɔn,40_ininside
mɔn,41_at
mɔda,42_if
kanta,43_head
kantatɛn,44_hair
kɛntɛp,45_eye
kanɔŋpa,46_nose
pɛɾ,47_ear
mɪhin,48_mouth
ŋɡɛŋɡaβʊ,49_tongue
mɪhintap,50_tooth
tan,51_hand
mpɛŋ,52_shoulder
mehɛk,53_neck
ɛβʊh,54_back
kɔʊk,55_leg
wɛɡ,56_blood
tɔɣaɾ,57_bone
ŋɡɛɪn,58_skin
kɔtpɛɾi,59_belly
dʊdaɾɛ,60_intestines
hɔn,61_breast
kɔtpɛin,62_liver
mbjaɾ,63_dog
ʤeh,64_bird
hɛiɾ,65_fish
ɛβaŋ,66_snake
ŋkɔɾ,67_worm
mɛn,68_louse
kɔβiɛta,69_rat
maŋɡam,70_spider
kikivɔn,71_mosquito
wʊn,72_egg
wɔɾ,73_tail
kɛβɛk,74_wing
kɔŋbɔt,75_feather
tɔmti,76_person
nemɛhaɾ,77_man
tampahaɾ,78_woman
dʊkɔk,79_child
nɛ,80_name
nɔʊ,81_mother
nɪa,82_father
pɔnɔmi,83_husband
pintɛ,84_wife
wɛŋwɛŋɡah,85_day
nah,86_night
kaβah,87_moon
kikiha,88_star
wɔŋ,89_sky
kɾa,90_water
ham,91_lake
pɛhɛɾ,92_sea
tɔm,93_fire
ntɔɣa,94_smoke
pɔʊn,95_ash
waɾ,96_stone
pat,97_earthsoil
pɔʊn,98_dust
hɛmɛŋ,99_sand
kɾi,100_rain
kɔmpʊm,102_wind
sawan,103_fog
wɔŋtɾʊ,104_thunder
wɔŋmɛniŋ,105_lightning
kah,106_meatflesh
pɛhɛɾkɛih,107_salt
kɛmɛŋkɛmɛŋ,108_fatgrease
is,109_fruit
pʊak,110_woodsforest
pʊɾ,111_root
hanat,112_branch
tɛn,113_leaf
adɔp,114_wood
kaŋpam,115_grass
pʊsin,116_flower
stafiden,117_thatchroof
wɪɾi,118_house
taɾɛ,119_rope
nʤɔt,121_roadpath
hɛnɛk,122_black
mbijɔŋ,123_white
wɔnwʊn,124_red
ɾamɛh,126_yellow
wɔlat,127_big
kɛskɔɡ,128_small
peɾɛka,129_long
pɛŋkɛh,130_short
mbaŋkɔɾ,131_thick
hɛɣɛt,132_thin
ŋɡɛβɛh,133_narrow
pewɛɾa,134_wide
kaŋɡap,135_sharp
kɔtkɔβʊɡ,136_bluntdull
kɔtnameh,137_shyashamed
tada,138_old
heɾɛɾɛ,139_painfulsick
pɔh,140_good
pɛɾkɔmɔn,141_bad
kɔntɔn,142_correcttrue
haβa,143_dirty
nɔmɔʊɾ,144_rotten
hɛɾɛdɪk,145_all
teŋkɛɾ,146_heavy
pijɛ,147_far
ŋɡaɾaŋ,148_near
kɔmpʊh,149_warm
kɔmpɔm,150_cold
ŋɡɛɾɛŋ,151_dry
naknaɣa,152_wet
kahwaŋ,153_new
kɛhɛ,154_other
hɔwɔt,155_come
wɛhɔ,156_walk
haɾ,157_grow
nanteɾ,158_stand
mɛhɛn,159_sit
wakʊ,160_fall
tɔmɔntɔmɔɲa,161_liedown
ŋɡɛwɛŋ,162_turn
mbiɾɪjɛk,163_climb
nɔɾɔp,164_swim
pʊɾʊ,165_flyverb
wahaɾʊk,166_throw
ɾɔɡɛhɛβɪ,167_hide
mbamʊ,168_chew
nawa,169_eat
ɾɔh,170_drink
wɛɾik,171_bite
dɔp,172_suck
kamkamaɾ,173_yawn
tɔp,174_spit
kekenɛβjat,175_dream
tɔmɔt,176_sleep
hiɾhiɾa,177_live
mpɔhɔk,178_die
pɔʊ,179_kill
kɔnɔ,180_see
kɔmɔn,181_hear
mbaɾɔh,182_sniffsmell
kentɛ,183_know
nɛnʊk,184_think
yɛt,185_laugh
ŋɡɪɾɪyaŋ,186_cry
pɔhɔk,187_blow
pɛɾ,188_burn
kɔʊ,189_flow
ŋɡɛit,190_sew
ntɾɪnk,191_pound
ŋɡawah,192_hit
kʊɾʊjɔk,193_cut
kʊkʊɾjɔk,194_split
wɔʊɡ,195_dig
mbjahɪɾi,196_hunt
hɛɣep,197_hold
kɔtmiɲɛk,198_fear
naŋpɔ,199_count
wɔhɔ,200_breathe
wɔɾʊk,201_vomit
mɡɔɾɔk,202_tieup
kɔmpɔɾ,203_squeeze
ŋɡɔβɔɾ,204_swell
pɾet,205_say
ŋɡɾijɛŋ,206_scratch
tʊp,207_stab
ɾɛ,208_buy
kɔdoɾwaɾɛ,209_steal
pidi,210_choose
tʊp,211_plant
kɛiɾ,212_cook
sjɛk,214_work
wɔʊh,215_open
